title_id,person_id,role,character_name
the-ex-wife-s-comeback-strategy,tristan-rewald,lead,
married-a-gardener-got-a-prince,tristan-rewald,lead,
runaway-billionaire-becomes-my-groom,tristan-rewald,lead,
love-me-after-my-death,andrew-fultz,lead,
the-billionaire-firefighter-and-his-sweet-wife,harrison-harber,lead,
falling-for-my-dad-s-best-friend,samuel-irwin-hill,lead,
my-loser-daddy-is-a-big-shot,justin-daniel-price,lead,
audrey-in-full-bloom,ali-badalov,lead,
help-my-hot-boss-has-my-nudes,carter-sirianni,lead,
saved-by-the-sexy-cowboy,carter-sirianni,lead,
pregnant-by-my-ex-s-dad,adam-huss,lead,
sleeping-with-the-president,adam-huss,lead,
alpha-s-regret,adam-huss,lead,
captured-and-bound-by-my-ceo,evan-wick,lead,
tricked-into-having-my-ex-husband-s-baby,evan-wick,lead,
straight-a-pregnancy,jordan-roy-frank,lead,
good-with-her-hands,jordan-roy-frank,lead,
baby-please-don-t-marry-him,jordan-roy-frank,lead,
billionaire-completes-my-bucket-list,jordan-roy-frank,lead,
the-one-i-never-forget,jordan-roy-frank,lead,
money-guns-and-a-merry-christmas,drew-ater,lead,
secret-surrogate-to-the-mafia-king,drew-ater,lead,
stay-at-home-dad-levels-up,drew-ater,lead,
countdown-to-life-rescue-at-30-000-feet,drew-ater,lead,
betraying-my-billionaire-husband,aidan-miguel-browne,lead,
true-heiress-vs-fake-queen-bee,aidan-miguel-browne,lead,
true-luna,nicholas-rodrigues,lead,
the-billionaire-s-baby-bargain,richard-sharrah,lead,
omg-i-got-married-in-vegas,richard-sharrah,lead,
resisting-mr-lloyd-an-age-gap-romance,richard-sharrah,lead,
mommy-don-t-cry-daddy-is-sorry,richard-sharrah,lead,
my-firefighter-fiancee-returns-as-a-billionaire,richard-sharrah,lead,
sadness-knows-no-boundaries,richard-sharrah,lead,
daisy-tucker-and-mr-nyc,richard-sharrah,lead,
america-s-favorite-ex-husband,richard-sharrah,lead,
someone-loved-is-never-lost,richard-sharrah,lead,
daddy-i-m-your-lucky-star,richard-sharrah,lead,
do-not-disturb-lady-boss-in-disguise,levi-peterson,lead,
the-billionaire-s-accidental-bride,sam-myerson,lead,
break-my-heart-again,sam-myerson,lead,
my-dear-brother-is-obsessed-with-me,sam-myerson,lead,
runaway-single-mom-safe-in-his-arms,sam-myerson,lead,
breaking-the-ice,seth-edeen,lead,
omg-i-m-surrounded-by-three-princes,seth-edeen,lead,
the-nurse-s-secret-marriage,seth-edeen,lead,
found-a-homeless-billionaire-husband-for-christmas,seth-edeen,lead,
open-your-eyes-my-billionaire-husband,seth-edeen,lead,
wings-of-fire-the-dragon-slayer-is-my-ex-lover,seth-edeen,lead,
the-quarterback-s-first-love,seth-edeen,lead,
how-to-kiss-a-vampire,seth-edeen,lead,
two-alphas-are-in-love-with-me,seth-edeen,lead,
ceo-s-twins-want-mommy-back,seth-edeen,lead,
baby-just-say-yes,alex-trumble,lead,
the-alpha-queen-returns,chad-wrinkles,lead,
the-virgin-and-the-billionaire,aaron-babcock,lead,
her-secret-crusader,scott-cooper,lead,
the-lost-prima-ballerina,chris-quartuccio,lead,
the-quarterback-next-door,chris-quartuccio,lead,
baby-please-don-t-marry-him,chris-quartuccio,lead,
i-m-in-love-with-my-brother-s-best-friend,chris-quartuccio,lead,
breaking-the-deal-with-my-hockey-bad-boy,chris-quartuccio,lead,
don-t-miss-me-when-i-m-gone,chris-quartuccio,lead,
sleep-with-me-mortal,chris-quartuccio,lead,
sweet-wild-bride-of-mine,chris-quartuccio,lead,
my-sister-is-the-warlord-queen,chris-quartuccio,lead,
to-my-romeo-with-love,chris-quartuccio,lead,
the-billionaire-s-masquerade,tyler-johnson-ellis,lead,
i-swapped-bodies-with-my-nemesis,tyler-johnson-ellis,lead,
fix-you,tyler-johnson-ellis,lead,
bound-to-the-rebel-wolf,tyler-johnson-ellis,lead,
the-summer-my-heart-stopped,tyler-johnson-ellis,lead,
a-fated-encounter,sully-christian,lead,
mommy-i-got-you-a-date,sully-christian,lead,
the-gourmet-ceo-turns-out-to-be-my-baby-s-dad,sully-christian,lead,
claimed-by-the-alpha-i-hate,sully-christian,lead,
the-heiress-is-back-three-brothers-on-their-knees,sully-christian,lead,
meet-my-brothers,sully-christian,lead,
the-beggar-king-returns,luke-charles-stafford,lead,
she-s-not-homeless-she-s-healer-goddess,luke-charles-stafford,lead,
