trope_id,name,slug,description,title_count
romantic-comedy,romantic-comedy,romantic-comedy,,5
romantic-marriage,romantic-marriage,romantic-marriage,,4
royal,royal,royal,,589
runaway-bride,runaway bride,runaway-bride,,11
runaway-pregnancy,runaway-pregnancy,runaway-pregnancy,,5
rural-life,rural-life,rural-life,,3
schemes,schemes,schemes,,127
second-chance,second chance,second-chance,,676
secret-baby,secret baby,secret-baby,,14
secret-child,secret child,secret-child,,7
secret-identity,secret identity,secret-identity,,213
secret-relationship,secret relationship,secret-relationship,,1
secretary,secretary,secretary,,11
single-dad,single dad,single-dad,,17
single-mom,single mom,single-mom,,1
single-parent,single-parent,single-parent,,1
situationship,situationship,situationship,,1
slave,slave,slave,,96
slow-burn-romance,slow-burn-romance,slow-burn-romance,,4
small-town,small town,small-town,,4
society,society,society,,238
son-in-law,son in law,son-in-law,,173
sport,sport,sport,,106
sports-romance,sports romance,sports-romance,,19
stand-in,stand in,stand-in,,300
steamy,steamy,steamy,,9
step-romance,step romance,step-romance,,1
step-siblings,step-siblings,step-siblings,,2
stepbrother,stepbrother,stepbrother,,4
strangers-to-lovers,strangers to lovers,strangers-to-lovers,,1
strong-female-lead,strong female lead,strong-female-lead,,7
student,student,student,,1
substitute-bride,substitute bride,substitute-bride,,315
summer-romance,summer romance,summer-romance,,1
super-power,super-power,super-power,,9
superpower,superpower,superpower,,116
superpowered,superpowered,superpowered,,3
suspense,suspense,suspense,,3
sweet,sweet,sweet,,1451
sweet-love,sweet-love,sweet-love,,4
sweet-romance,sweet-romance,sweet-romance,,18
system,system,system,,303
teen,teen,teen,,5
the-chosen-one,the chosen one,the-chosen-one,,5
time-travel,time travel,time-travel,,386
top-chef,top chef,top-chef,,70
top-professional,top-professional,top-professional,,3
tough-guy,tough guy,tough-guy,,1
toxic-love,toxic love,toxic-love,,1470
toxic-relationship,toxic relationship,toxic-relationship,,66
tragic-love,tragic-love,tragic-love,,15
